brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
16829.0,for_sale,535000.0,1.0,1.0,,1046150.0,Brooklyn,New York,11225.0,,2015-09-04
28953.0,for_sale,1499999.0,4.0,4.0,0.05,994690.0,Bronx,New York,10451.0,3680.0,2016-12-22
53300.0,for_sale,155000.0,1.0,1.0,,42926.0,Bronx,New York,10452.0,700.0,2018-04-30
53300.0,for_sale,715000.0,4.0,3.0,,862661.0,Bronx,New York,10465.0,2100.0,2018-08-07
7923.0,for_sale,799000.0,10.0,5.0,0.06,817696.0,Bronx,New York,10458.0,3625.0,2018-07-25
28958.0,for_sale,775000.0,3.0,2.0,,1419014.0,Bronx,New York,10471.0,,2017-02-06
65473.0,for_sale,225000.0,1.0,1.0,,937278.0,Bronx,New York,10463.0,900.0,2018-03-12
7923.0,for_sale,899999.0,,,0.04,137113.0,Brooklyn,New York,11203.0,1782.0,2021-11-19
30629.0,for_sale,599000.0,3.0,3.0,0.04,1271906.0,Bronx,New York,10458.0,1296.0,2022-01-07
16829.0,for_sale,1495000.0,1.0,1.0,,1312951.0,Brooklyn,New York,11201.0,1100.0,2017-01-20
27075.0,for_sale,625000.0,4.0,3.0,,513322.0,Bronx,New York,10473.0,,2020-10-07
92891.0,for_sale,665000.0,1.0,1.0,,58470.0,Brooklyn,New York,11206.0,,2017-03-27
30843.0,for_sale,349000.0,2.0,1.0,,1073717.0,Bronx,New York,10463.0,1076.0,2017-11-06
81944.0,for_sale,850000.0,2.0,1.0,,263738.0,Brooklyn,New York,11201.0,763.0,2019-01-03
100827.0,for_sale,1389999.0,4.0,3.0,0.06,1511722.0,Queens,New York,11379.0,1848.0,2020-01-28
16829.0,for_sale,2250000.0,4.0,5.0,,1248932.0,Brooklyn,New York,11233.0,2160.0,2019-10-25
31801.0,for_sale,1079000.0,6.0,3.0,0.06,493652.0,Bronx,New York,10462.0,3232.0,2016-06-27
44245.0,for_sale,949000.0,6.0,3.0,0.04,443150.0,Bronx,New York,10462.0,2164.0,2021-06-23
28938.0,for_sale,760000.0,1.0,1.0,,945547.0,Brooklyn,New York,11201.0,620.0,2014-06-27
53270.0,for_sale,999888.0,5.0,4.0,0.05,333467.0,Brooklyn,New York,11208.0,,2015-03-11
16829.0,for_sale,595000.0,1.0,1.0,,440613.0,Manhattan,New York,10023.0,,2016-09-29
15668.0,for_sale,549000.0,3.0,2.0,0.09,452804.0,Bronx,New York,10473.0,1155.0,2019-09-23
33714.0,for_sale,699999.0,3.0,2.0,0.06,725261.0,Bronx,New York,10473.0,1950.0,2021-11-22
45949.0,for_sale,175000.0,1.0,1.0,,634041.0,Bronx,New York,10470.0,750.0,2016-05-27
28995.0,for_sale,249000.0,1.0,1.0,,1689032.0,Bronx,New York,10451.0,,2014-09-24
56647.0,for_sale,1780000.0,5.0,5.0,0.04,1038018.0,Brooklyn,New York,11208.0,,2014-01-07
28944.0,for_sale,850000.0,2.0,2.0,,1047519.0,Brooklyn,New York,11218.0,1140.0,2016-09-29
15895.0,for_sale,749000.0,,,,555685.0,Bronx,New York,10453.0,,2019-07-19
43718.0,for_sale,1075000.0,4.0,3.0,,1428309.0,Brooklyn,New York,11233.0,,2018-02-20
20348.0,for_sale,299000.0,1.0,1.0,,1251820.0,Bronx,New York,10471.0,950.0,2016-06-02
16829.0,for_sale,295000.0,1.0,1.0,,1011767.0,Queens,New York,11372.0,770.0,2019-10-11
28944.0,for_sale,1195000.0,2.0,2.0,,848904.0,Brooklyn,New York,11238.0,990.0,2016-05-11
29058.0,for_sale,2175000.0,3.0,3.0,,856067.0,Brooklyn,New York,11217.0,1811.0,2016-12-27
16829.0,for_sale,485000.0,2.0,1.0,,1418991.0,Bronx,New York,10471.0,,2017-02-06
54326.0,for_sale,789000.0,5.0,3.0,0.05,411793.0,Bronx,New York,10457.0,,2022-01-19
16829.0,for_sale,1349000.0,2.0,2.0,,221178.0,Brooklyn,New York,11205.0,966.0,2018-08-17
16829.0,for_sale,1200000.0,2.0,2.0,,531562.0,Brooklyn,New York,11215.0,946.0,2020-04-10
16829.0,for_sale,675000.0,,1.0,,390081.0,Brooklyn,New York,11201.0,500.0,2014-05-09
24658.0,for_sale,349000.0,3.0,1.0,,444681.0,Bronx,New York,10462.0,1379.0,2021-08-10
71477.0,for_sale,689900.0,4.0,2.0,0.04,1096086.0,Bronx,New York,10467.0,2750.0,2021-01-15
23572.0,for_sale,730000.0,5.0,2.0,,1706777.0,Bronx,New York,10467.0,1692.0,2017-04-04
16829.0,for_sale,1895000.0,3.0,1.0,,1405002.0,Brooklyn,New York,11215.0,,2017-04-27
16829.0,for_sale,525000.0,,1.0,,1745288.0,Manhattan,New York,10012.0,,2019-10-03
16829.0,for_sale,1310000.0,3.0,2.0,,1083031.0,Brooklyn,New York,11201.0,1287.0,2014-02-05
67920.0,for_sale,700000.0,2.0,2.0,,821430.0,Brooklyn,New York,11226.0,658.0,2018-09-26
28938.0,for_sale,2995000.0,2.0,2.0,,1312952.0,Brooklyn,New York,11201.0,1750.0,2017-10-06
16829.0,for_sale,4250000.0,3.0,3.0,,271525.0,Brooklyn,New York,11201.0,2227.0,2017-11-30
92698.0,for_sale,400000.0,3.0,2.0,0.03,782069.0,Bronx,New York,10468.0,1564.0,2018-06-04
102654.0,for_sale,749000.0,,,,1603652.0,Brooklyn,New York,11203.0,1732.0,2018-11-15
30089.0,for_sale,689000.0,,,,1477288.0,Bronx,New York,10471.0,2049.0,2017-10-23
92698.0,for_sale,550000.0,4.0,2.0,0.03,781690.0,Bronx,New York,10468.0,1528.0,2018-05-17
16913.0,for_sale,821000.0,,,,1412933.0,Bronx,New York,10471.0,,2019-11-14
16913.0,for_sale,799000.0,,,,1252356.0,Brooklyn,New York,11203.0,,2018-09-04
16913.0,for_sale,3495000.0,,,,1030947.0,Brooklyn,New York,11215.0,4264.0,2018-09-07
